0	0
0	66
0	52
0	52
0	52
1	48
1	48
1	46
1	50
2	50
2	51
2	55
2	55
3	49
3	46
3	45
3	47
4	47
4	0
4	51
4	52
4	44
5	44
5	43
5	47
5	45
6	47
6	43
6	41
6	42
6	45
7	45
7	45
7	59
7	58
8	57
8	53
8	53
8	54
9	60
9	60
9	56
9	59
9	59
10	58
10	63
10	61
10	61
11	55
11	55
11	56
11	0
0	0
0	61
0	61
0	61
0	73
1	72
1	68
1	67
1	67
2	67
2	53
2	53
2	51
3	42
3	42
3	40
3	47
3	46
4	0
4	56
4	45
4	45
5	44
5	47
5	47
5	42
6	42
6	42
6	43
6	41
6	41
7	40
7	34
7	34
7	29
8	23
8	23
8	27
8	33
8	33
9	31
9	32
9	32
9	32
10	41
10	40
10	39
